127.0.0.1 - - [29/Jan/2019:14:50:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/pdf.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/compatibility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/languages/jquery.validationEngine-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/jquery/jquery-migrate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/tableHeadFixer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/uic/highcharts-3d.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/bootstrap-multiselect.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/uic/form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/uic/jqueryFileDownload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/uic/commonActions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/uic/ui-component-ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/datepickr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/appjs/autoLogut.js?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/appjs/welcome.js?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/reports/none.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/reports/amChart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/manifest.appcache HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/lspdfoperations.js?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/pdf.combined.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:45 +0530] "GET /LS_SQL_TEST/js/reports/serial.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:48 +0530] "POST /LS_SQL_TEST/getDynamicAlert.htm HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:48 +0530] "GET /LS_SQL_TEST/css/appCSS/images/loading_white_small.gif HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:48 +0530] "GET /LS_SQL_TEST/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:48 +0530] "GET /LS_SQL_TEST/fonts/glyphicons/font/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:56 +0530] "POST /LS_SQL_TEST/show-table.htm HTTP/1.1" 200 21609
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:57 +0530] "GET /LS_SQL_TEST/css/uic/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:57 +0530] "GET /LS_SQL_TEST/css/uic/images/xls.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:57 +0530] "GET /LS_SQL_TEST/css/uic/images/arrowOff.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:53:07 +0530] "POST /LS_SQL_TEST/pageSearch.htm?page=3&totalRecords=34&order=-1&column=-1&tableIds=workQueue HTTP/1.1" 200 19497
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:54:56 +0530] "POST /LS_SQL_TEST/validateWqId.htm HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:02:24 +0530] "POST /LS_SQL_TEST/qamessage_checklist.htm HTTP/1.1" 200 6525
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:02:24 +0530] "GET /LS_SQL_TEST/css/darktooltip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:02:24 +0530] "GET /LS_SQL_TEST/css/jquery-ui-checkbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:02:24 +0530] "GET /LS_SQL_TEST/css/jquery-confirm.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:02:24 +0530] "GET /LS_SQL_TEST/css/appCSS/product/qamessage_checklist_product.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:02:24 +0530] "GET /LS_SQL_TEST/js/jquery/smoothness/jquery-ui.custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:02:24 +0530] "GET /LS_SQL_TEST/js/jquery.darktooltip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:15:02:24 +0530] "GET /LS_SQL_TEST/js/appjs/qamessage_checklist.js?value=LSV4_b5_07300512 HTTP/1.1" 304 -
